body              time                 x                 y                vx                vy
1               0.139             2.72198             45.2075             -2.0002             1.48599
0                0.14             2.42001            0.640741             3.00015             1.01058
1                0.14             2.71998              45.209            -2.00021             1.48589
0               0.141             2.42301            0.641752             3.00016             1.01066
1               0.141             2.71798             45.2105            -2.00021             1.48579
0               0.142             2.42601            0.642763             3.00016             1.01074
1               0.142             2.71598              45.212            -2.00021             1.48569
0               0.143             2.42901            0.643773             3.00016             1.01081
1               0.143             2.71398             45.2135            -2.00021             1.48558
0               0.144             2.43201            0.644784             3.00016             1.01089
1               0.144             2.71198              45.215            -2.00021             1.48548
0               0.145             2.43501            0.645795             3.00016             1.01096
1               0.145             2.70998             45.2164            -2.00021             1.48538
0               0.146             2.43801            0.646806             3.00016             1.01104
1               0.146             2.70798             45.2179            -2.00021             1.48528
0               0.147             2.44101            0.647817             3.00016             1.01111
1               0.147             2.70598             45.2194            -2.00021             1.48518
0               0.148             2.44401            0.648828             3.00016             1.01119
1               0.148             2.70398             45.2209            -2.00021             1.48508
0               0.149             2.44701             0.64984             3.00016             1.01126
1               0.149             2.70198             45.2224            -2.00021             1.48498
0                0.15             2.45001            0.650851             3.00016             1.01134
1                0.15             2.69998             45.2239            -2.00021             1.48488
0               0.151             2.45301            0.651862             3.00016             1.01142
1               0.151             2.69798             45.2254            -2.00021             1.48478
0               0.152             2.45601            0.652874             3.00016             1.01149
1               0.152             2.69598             45.2268            -2.00021             1.48468
0               0.153             2.45901            0.653885             3.00016             1.01157
1               0.153             2.69398             45.2283            -2.00021             1.48458
0               0.154             2.46201            0.654897             3.00016             1.01164
1               0.154             2.69198             45.2298            -2.00021             1.48448
0               0.155             2.46502            0.655909             3.00016             1.01172
1               0.155             2.68998             45.2313            -2.00021             1.48438
0               0.156             2.46802             0.65692             3.00016             1.01179
1               0.156             2.68798             45.2328            -2.00021             1.48428
0               0.157             2.47102            0.657932             3.00016             1.01187
1               0.157             2.68598             45.2343            -2.00022             1.48418
0               0.158             2.47402            0.658944             3.00016             1.01194
1               0.158             2.68398             45.2357            -2.00022             1.48407
0               0.159             2.47702            0.659956             3.00016             1.01202
1               0.159             2.68198             45.2372            -2.00022             1.48397
0                0.16             2.48002            0.660968             3.00016             1.01209
1                0.16             2.67998             45.2387            -2.00022             1.48387
0               0.161             2.48302             0.66198             3.00016             1.01217
1               0.161             2.67798             45.2402            -2.00022             1.48377
0               0.162             2.48602            0.662992             3.00016             1.01225
1               0.162             2.67598             45.2417            -2.00022             1.48367
0               0.163             2.48902            0.664005             3.00016             1.01232
1               0.163             2.67398             45.2432            -2.00022             1.48357
0               0.164             2.49202            0.665017             3.00016              1.0124
1               0.164             2.67198             45.2446            -2.00022             1.48347
0               0.165             2.49502            0.666029             3.00016             1.01247
1               0.165             2.66998             45.2461            -2.00022             1.48337
0               0.166             2.49802            0.667042             3.00017             1.01255
1               0.166             2.66798             45.2476            -2.00022             1.48327
0               0.167             2.50102            0.668055             3.00017             1.01262
1               0.167             2.66598             45.2491            -2.00022             1.48317
0               0.168             2.50402            0.669067             3.00017              1.0127
1               0.168             2.66398             45.2506            -2.00022             1.48307
0               0.169             2.50702             0.67008             3.00017             1.01277
1               0.169             2.66198             45.2521            -2.00022             1.48297
0                0.17             2.51002            0.671093             3.00017             1.01285
1                0.17             2.65998             45.2535            -2.00022             1.48287
0               0.171             2.51302            0.672106             3.00017             1.01293
1               0.171             2.65798              45.255            -2.00022             1.48277
0               0.172             2.51602            0.673119             3.00017               1.013
1               0.172             2.65598             45.2565            -2.00022             1.48267
0               0.173             2.51902            0.674132             3.00017             1.01308
1               0.173             2.65398              45.258            -2.00022             1.48257
0               0.174             2.52202            0.675145             3.00017             1.01315
1               0.174             2.65198             45.2595            -2.00022             1.48246
0               0.175             2.52502            0.676158             3.00017             1.01323
1               0.175             2.64998              45.261            -2.00022             1.48236
0               0.176             2.52802            0.677171             3.00017              1.0133
1               0.176             2.64798             45.2624            -2.00022             1.48226
0               0.177             2.53102            0.678185             3.00017             1.01338
1               0.177             2.64598             45.2639            -2.00022             1.48216
0               0.178             2.53402            0.679198             3.00017             1.01345
1               0.178             2.64397             45.2654            -2.00022             1.48206
0               0.179             2.53702            0.680211             3.00017             1.01353
1               0.179             2.64197             45.2669            -2.00022             1.48196
0                0.18             2.54002            0.681225             3.00017              1.0136
1                0.18             2.63997             45.2684            -2.00022             1.48186
0               0.181             2.54302            0.682239             3.00017             1.01368
1               0.181             2.63797             45.2698            -2.00022             1.48176
0               0.182             2.54602            0.683252             3.00017             1.01376
1               0.182             2.63597             45.2713            -2.00022             1.48166
0               0.183             2.54902            0.684266             3.00017             1.01383
1               0.183             2.63397             45.2728            -2.00022             1.48156
0               0.184             2.55202             0.68528             3.00017             1.01391
1               0.184             2.63197             45.2743            -2.00022             1.48146
0               0.185             2.55502            0.686294             3.00017             1.01398
1               0.185             2.62997             45.2758            -2.00022             1.48136
0               0.186             2.55802            0.687308             3.00017             1.01406
1               0.186             2.62797             45.2773            -2.00022             1.48126
0               0.187             2.56102            0.688322             3.00017             1.01413
1               0.187             2.62597             45.2787            -2.00022             1.48116
0               0.188             2.56402            0.689336             3.00017             1.01421
1               0.188             2.62397             45.2802            -2.00022             1.48106
0               0.189             2.56702            0.690351             3.00017             1.01428
1               0.189             2.62197             45.2817            -2.00023             1.48096
0                0.19             2.57002            0.691365             3.00017             1.01436
1                0.19             2.61997             45.2832            -2.00023             1.48086
0               0.191             2.57302            0.692379             3.00017             1.01443
1               0.191             2.61797             45.2847            -2.00023             1.48075
0               0.192             2.57602            0.693394             3.00017             1.01451
1               0.192             2.61597             45.2861            -2.00023             1.48065
0               0.193             2.57902            0.694408             3.00017             1.01459
1               0.193             2.61397             45.2876            -2.00023             1.48055
0               0.194             2.58202            0.695423             3.00017             1.01466
1               0.194             2.61197             45.2891            -2.00023             1.48045
0               0.195             2.58502            0.696438             3.00017             1.01474
1               0.195             2.60997             45.2906            -2.00023             1.48035
0               0.196             2.58802            0.697452             3.00017             1.01481
1               0.196             2.60797             45.2921            -2.00023             1.48025
0               0.197             2.59102            0.698467             3.00017             1.01489
1               0.197             2.60597             45.2935            -2.00023             1.48015
0               0.198             2.59402            0.699482             3.00017             1.01496
1               0.198             2.60397              45.295            -2.00023             1.48005
0               0.199             2.59702            0.700497             3.00017             1.01504
1               0.199             2.60197             45.2965            -2.00023             1.47995
0                 0.2             2.60002            0.701512             3.00017             1.01511
1                 0.2             2.59997              45.298            -2.00023             1.47985
0               0.201             2.60302            0.702527             3.00017             1.01519
1               0.201             2.59797             45.2995            -2.00023             1.47975
0               0.202             2.60602            0.703543             3.00017             1.01526
1               0.202             2.59597             45.3009            -2.00023             1.47965
0               0.203             2.60902            0.704558             3.00017             1.01534
1               0.203             2.59397             45.3024            -2.00023             1.47955
0               0.204             2.61202            0.705573             3.00017             1.01541
1               0.204             2.59197             45.3039            -2.00023             1.47945
0               0.205             2.61502            0.706589             3.00017             1.01549
1               0.205             2.58997             45.3054            -2.00023             1.47935
0               0.206             2.61802            0.707604             3.00017             1.01557
1               0.206             2.58797             45.3069            -2.00023             1.47925
0               0.207             2.62102             0.70862             3.00017             1.01564
1               0.207             2.58597             45.3083            -2.00023             1.47915
0               0.208             2.62402            0.709636             3.00017             1.01572
1               0.208             2.58397             45.3098            -2.00023             1.47904
0               0.209             2.62702            0.710651             3.00017             1.01579
1               0.209             2.58197             45.3113            -2.00023             1.47894
0                0.21             2.63002            0.711667             3.00017             1.01587
1                0.21             2.57997             45.3128            -2.00023             1.47884
0               0.211             2.63302            0.712683             3.00017             1.01594
1               0.211             2.57797             45.3143            -2.00022             1.47874
0               0.212             2.63602            0.713699             3.00017             1.01602
1               0.212             2.57597             45.3157            -2.00022             1.47864
0               0.213             2.63902            0.714715             3.00017             1.01609
1               0.213             2.57397             45.3172            -2.00022             1.47854
0               0.214             2.64203            0.715731             3.00017             1.01617
1               0.214             2.57197             45.3187            -2.00022             1.47844
0               0.215             2.64503            0.716747             3.00017             1.01624
1               0.215             2.56997             45.3202            -2.00022             1.47834
0               0.216             2.64803            0.717764             3.00017             1.01632
1               0.216             2.56797             45.3216            -2.00022             1.47824
0               0.217             2.65103             0.71878             3.00017              1.0164
1               0.217             2.56597             45.3231            -2.00022             1.47814
